,Excitement,Happy,Pleasant,Surprise,Fear,Angry,max_value,clean_text,created_at,tweet_id,label
2051,0,0,0,1,0,0,1,: So very . frequently mistake small pieces of waste for food. As their stomachs fill with plastic that is…,Sun Mar 15 04:43:30 +0000 2020,1.23905461944521E+18,Surprise
2109,0,0,0,1,0,0,1,They couldn't even personally sign the card for one of their most loyal sychophants?,Sun Mar 15 04:46:11 +0000 2020,1.2390555733642E+18,Surprise
2127,0,0,0,1,0,0,1,Back home from ceo,Sun Mar 15 04:47:26 +0000 2020,1.23905583758441E+18,Surprise
2162,0,0,0,1,0,0,1,Distressed Denim Mini Dress …,Sun Mar 15 04:49:28 +0000 2020,1.23905595129607E+18,Surprise
2192,0,0,0,2,0,0,2,I wish I had someone to talk to. I don’t want to be alone with my thoughts right now.,Sun Mar 15 04:51:26 +0000 2020,1.23905638648439E+18,Surprise
2227,0,0,0,1,0,0,1,! is on Plus right now: Update: Disney has now released Frozen …,Sun Mar 15 04:53:25 +0000 2020,1.23905643739913E+18,Surprise
2266,0,0,0,1,0,0,1,"wow, you are ugly.. inside and out..",Sun Mar 15 04:56:16 +0000 2020,1.23905675186716E+18,Surprise
2297,0,0,0,1,0,0,1,my quarantine snacks will last me more time than i need them to. i already only eat one meal a day.,Sun Mar 15 04:58:28 +0000 2020,1.23905703000383E+18,Surprise
2379,0,0,0,1,0,0,1,An elected official spitting in the face of public health.,Sun Mar 15 05:03:36 +0000 2020,1.23905874822167E+18,Surprise
2457,0,0,0,1,0,0,1,arden never called ): feeling,Sun Mar 15 05:07:23 +0000 2020,1.23906023306381E+18,Surprise
2474,0,0,0,1,0,0,1,"I need a Twitter therapy, I need advice, I need help right now, ( we are both Armys)",Sun Mar 15 05:08:26 +0000 2020,1.23906180385601E+18,Surprise
2477,0,0,0,1,0,0,1,"If a guy ends up quickly, I'm bored with him",Sun Mar 15 05:08:53 +0000 2020,1.23906219550311E+18,Surprise
2509,0,0,0,1,0,0,1,"I just wanted to be beautiful for , I just dont know how to be beautiful",Sun Mar 15 05:10:37 +0000 2020,1.23906234414106E+18,Surprise
2515,0,0,0,1,0,0,1,⁦⁩ I won’t understand how you go from hugs to hate when your show is killing,Sun Mar 15 05:10:49 +0000 2020,1.23906304982832E+18,Surprise
2536,0,0,0,1,0,0,1,Damn. I knew I should've asked Santa for guns.,Sun Mar 15 05:12:04 +0000 2020,1.23906410836602E+18,Surprise
2555,0,0,0,1,0,0,1,": If you don't love me, please don't hurt my heart...",Sun Mar 15 05:13:11 +0000 2020,1.23906419872809E+18,Surprise
2662,0,0,0,1,1,0,1,“Why Do I Feel Depressed Every Once in a While for No Reason?” mindfulness,Sun Mar 15 05:20:00 +0000 2020,1.23906428046249E+18,Surprise
2675,0,0,0,1,0,0,1,Hades Town blockbuster Broadway show dark on a Saturday night in NYC like a ghost town. My town c…,Sun Mar 15 05:20:58 +0000 2020,1.23906442392026E+18,Surprise
2725,0,0,0,1,0,0,1,CHICAGO blockbuster Broadway show dark on a Saturday night in NYC like a ghost town. My town calm…,Sun Mar 15 05:23:49 +0000 2020,1.23906562217841E+18,Surprise
2752,0,0,0,1,0,0,1,: TITTY TUESDAY and i have no one to suck on mine 🥺,Sun Mar 15 05:25:54 +0000 2020,1.23906672057848E+18,Surprise
2839,0,0,0,1,0,0,1,: 「 」Dance Practice,Sun Mar 15 05:32:09 +0000 2020,1.23906678756578E+18,Surprise
2856,0,0,0,1,0,0,1,"The good times of , are the thoughts of .- Bob Marley",Sun Mar 15 05:33:42 +0000 2020,1.23906679409612E+18,Surprise
2859,0,0,0,1,0,0,1,: hold on..🥺 Link of song in bio Anime: Beyond the Boundary …,Sun Mar 15 05:34:18 +0000 2020,1.2390669419916E+18,Surprise
2887,0,0,0,1,0,0,1,My heart is broken,Sun Mar 15 05:37:06 +0000 2020,1.23906723823528E+18,Surprise
2941,0,0,0,1,0,0,1,Fell the sense of mine,Sun Mar 15 05:41:18 +0000 2020,1.23906778214851E+18,Surprise
2944,0,0,0,1,0,0,1,I saw,Sun Mar 15 05:41:40 +0000 2020,1.23906846209949E+18,Surprise
2950,0,0,0,1,0,0,1,: i didn’t get a tattoo today,Sun Mar 15 05:41:59 +0000 2020,1.23906849950029E+18,Surprise
2962,0,0,0,1,0,0,1,"I’ve been communicating with the rabbit outside my accom, and he let me know he lost his wife to the virus",Sun Mar 15 05:42:34 +0000 2020,1.23906861613953E+18,Surprise
3023,0,0,0,1,0,0,1,No one with half a brain cell believes anything he says.,Sun Mar 15 05:47:19 +0000 2020,1.23906882304885E+18,Surprise
3076,0,0,0,1,0,0,1,There was suppose to be an f1 race today,Sun Mar 15 05:51:41 +0000 2020,1.23907073631841E+18,Surprise
3081,0,0,0,1,0,0,1,Congrats for everyone who beated the challenge..AGAIN,Sun Mar 15 05:51:57 +0000 2020,1.23907107113293E+18,Surprise
3082,0,0,0,1,0,0,1,Afghani children got better food and lifestyle after the destruction.,Sun Mar 15 05:51:59 +0000 2020,1.23907107669458E+18,Surprise
3084,0,0,0,1,0,0,1,BBC News - AC/DC guitarist Malcolm Young dies at …,Sun Mar 15 05:52:16 +0000 2020,1.23907158001527E+18,Surprise
3087,0,0,0,1,0,0,1,Show me a Kar98 and ill show you a kill count homie,Sun Mar 15 05:52:34 +0000 2020,1.23907184297717E+18,Surprise
3101,0,0,0,1,0,0,1,true i’m desperate for coronadick it’s not even funny,Sun Mar 15 05:53:45 +0000 2020,1.23907213013173E+18,Surprise
3111,0,0,0,1,0,0,1,NEW JAUNT ON SC .....run it up 🤩🤩,Sun Mar 15 05:55:54 +0000 2020,1.23907253967182E+18,Surprise
3132,0,0,0,1,1,0,1,: “Why Do I Feel Depressed Every Once in a While for No Reason?” mindfuln…,Sun Mar 15 05:58:36 +0000 2020,1.23907291710888E+18,Surprise
3137,0,0,0,1,0,0,1,There’s no sports on and they still refuse to play UFC replays,Sun Mar 15 05:58:45 +0000 2020,1.2390731428589E+18,Surprise
3141,0,0,0,1,0,0,1,i’m fuckin,Sun Mar 15 05:59:13 +0000 2020,1.23907586515927E+18,Surprise
3155,0,0,0,1,0,0,1,Just came back from a photo shoot. Who wants to see?,Sun Mar 15 06:00:02 +0000 2020,1.23907635544429E+18,Surprise
3205,0,0,0,1,0,0,1,I am gonna miss my classes n my kids..classes off from tomorrow to st March They are the ones w…,Sun Mar 15 06:03:40 +0000 2020,1.23907698239189E+18,Surprise
3256,0,0,0,1,0,0,1,All these Astros haters and the Yankees still suck. Nothing can save the Yankees from sucking.,Sun Mar 15 06:07:39 +0000 2020,1.23907785718945E+18,Surprise
3272,0,0,0,1,0,0,1,U suck ass big time ...,Sun Mar 15 06:08:58 +0000 2020,1.23907865587316E+18,Surprise
3273,0,0,0,1,0,0,1,A list of Dark &amp; with Beings: |,Sun Mar 15 06:09:00 +0000 2020,1.23907868778758E+18,Surprise
3293,0,0,0,1,0,0,1,Dark &amp; from best to worst: |,Sun Mar 15 06:11:00 +0000 2020,1.2390791187061E+18,Surprise
3305,0,0,0,1,0,0,1,When lasting genetic-siblings &amp; temp social relationships-marriage jobs-CLASH modernity loses bliss,Sun Mar 15 06:12:02 +0000 2020,1.23907975346783E+18,Surprise
3317,0,0,0,1,0,0,1,Umm sadness? This is Naomi... Idk,Sun Mar 15 06:13:11 +0000 2020,1.23908109415206E+18,Surprise
3335,0,0,0,1,0,0,1,Outta weed outta will live,Sun Mar 15 06:14:48 +0000 2020,1.23908140873318E+18,Surprise
3359,0,0,0,1,0,0,1,Dang slummy leaving me :-/,Sun Mar 15 06:16:18 +0000 2020,1.2390814602687E+18,Surprise
3368,0,0,0,1,0,0,1,: Come From Away blockbuster Broadway show dark on a Saturday night in NYC like a ghost town. My town calm…,Sun Mar 15 06:17:12 +0000 2020,1.23908186459961E+18,Surprise
3471,0,0,0,1,0,0,1,my day was bullshit someone help make it…,Sun Mar 15 06:27:10 +0000 2020,1.23908210435431E+18,Surprise
3481,0,0,0,1,0,0,1,Yep its me,Sun Mar 15 06:28:01 +0000 2020,1.23908308543987E+18,Surprise
3506,0,0,0,1,0,0,1,IDIOT!!!! Brazen and such a wrong thing to do.,Sun Mar 15 06:29:58 +0000 2020,1.23908354365489E+18,Surprise
3529,0,0,0,1,0,0,1,Story time why a saved Abused pup Pt.2 follow for more …,Sun Mar 15 06:31:45 +0000 2020,1.23908393575096E+18,Surprise
3532,0,0,0,1,0,0,1,feeling,Sun Mar 15 06:32:28 +0000 2020,1.23908524941967E+18,Surprise
3563,0,0,0,1,0,0,1,: i’m fuckin,Sun Mar 15 06:35:56 +0000 2020,1.23908525179795E+18,Surprise
3597,0,0,0,1,0,0,1,dude I just deleted over pics/vids from my phone,Sun Mar 15 06:39:07 +0000 2020,1.23908525336661E+18,Surprise
3598,0,0,0,1,0,0,1,We’ve got some sad vibes tonight boys 🥺🥺,Sun Mar 15 06:39:14 +0000 2020,1.23908525900794E+18,Surprise
3618,0,0,0,1,0,0,1,It's not safe anywhere... Maybe he lost his job at one of casino's. 🤔,Sun Mar 15 06:40:57 +0000 2020,1.23908526073181E+18,Surprise
3652,0,0,0,1,0,0,1,"“It only covers % of the workforce.” ! Love, Establishment Democrats",Sun Mar 15 06:43:28 +0000 2020,1.23908526210754E+18,Surprise
3718,0,0,0,1,0,0,1,James St Patrick hit all the below on,Sun Mar 15 06:48:48 +0000 2020,1.23908526963633E+18,Surprise
3726,0,0,0,1,0,0,1,I wasn’t able to buy animal crossing switch edition and I wasn’t able to pre-order the game with bonus items.,Sun Mar 15 06:50:03 +0000 2020,1.23908609740717E+18,Surprise
3729,0,0,0,1,0,0,1,Who wants to be friend? I’m loney asf,Sun Mar 15 06:50:15 +0000 2020,1.23908634109225E+18,Surprise
3743,0,0,0,1,0,0,1,"There’s no , I’m just bored I missed hashtags",Sun Mar 15 06:51:52 +0000 2020,1.23908704084034E+18,Surprise
3756,0,0,0,1,0,0,1,Related Instagram tags for :,Sun Mar 15 06:52:49 +0000 2020,1.23908708917986E+18,Surprise
3798,0,0,0,1,0,0,1,Unfortunately the People do love liars and don’t care about truth. Look how many seats Gantz received...,Sun Mar 15 06:56:43 +0000 2020,1.2390878062799E+18,Surprise
3823,0,0,0,1,0,0,1,that shits super,Sun Mar 15 06:58:32 +0000 2020,1.23908977829484E+18,Surprise
3848,0,0,0,1,0,0,1,You’re endangering lives and bragging about it.,Sun Mar 15 07:00:06 +0000 2020,1.23909207593874E+18,Surprise
3928,0,0,0,1,0,0,1,: RT realDonaldTrump: BIGGEST STOCK MARKET RISE IN HISTORY YESTERDAY!,Sun Mar 15 07:05:19 +0000 2020,1.23909480976933E+18,Surprise
3929,0,0,0,1,0,0,1,: RT realDonaldTrump: SOCIAL DISTANCING!,Sun Mar 15 07:05:19 +0000 2020,1.23909566732854E+18,Surprise
3930,0,0,0,1,0,0,1,: RT realDonaldTrump: News Conference at White House in minutes.,Sun Mar 15 07:05:20 +0000 2020,1.23909659327146E+18,Surprise
3931,0,0,0,1,0,0,1,": RT realDonaldTrump: Just finished a meeting on Covid-19 in the Situation Room, n…",Sun Mar 15 07:05:20 +0000 2020,1.23909698530026E+18,Surprise
3932,0,0,0,1,0,0,1,": RT WhiteHouse: ""We're using the full power of the federal government to defeat t…",Sun Mar 15 07:05:20 +0000 2020,1.23909702729383E+18,Surprise
3933,0,0,0,1,0,0,1,: RT WhiteHouse: The Coronavirus Task Force is focused on implementing the Preside…,Sun Mar 15 07:05:21 +0000 2020,1.23909715756054E+18,Surprise
3934,0,0,0,1,0,0,1,: RT realDonaldTrump: THE UNITED STATES LOVES ITALY!,Sun Mar 15 07:05:21 +0000 2020,1.23909875569516E+18,Surprise
3935,0,0,0,1,0,0,1,: RT realDonaldTrump: COVID-19 UPDATE,Sun Mar 15 07:05:21 +0000 2020,1.23909896085954E+18,Surprise
3936,0,0,0,1,0,0,1,: RT realDonaldTrump:,Sun Mar 15 07:05:22 +0000 2020,1.23910117457551E+18,Surprise
3937,0,0,0,1,0,0,1,: RT realDonaldTrump: Just had a nice conversation with Prime Minister JustinTrude…,Sun Mar 15 07:05:22 +0000 2020,1.23910197253764E+18,Surprise
3938,0,0,0,1,0,0,1,: RT realDonaldTrump: The CDCgov has published guidelines on…,Sun Mar 15 07:05:23 +0000 2020,1.23910225650859E+18,Surprise
3939,0,0,0,1,0,0,1,": RT WhiteHouse: .Surgeon_General: ""My prescription: know your risk, understand yo…",Sun Mar 15 07:05:23 +0000 2020,1.23910401692929E+18,Surprise
3940,0,0,0,1,0,0,1,: RT realDonaldTrump:,Sun Mar 15 07:05:24 +0000 2020,1.23910431591626E+18,Surprise
3981,0,0,0,1,0,0,1,"We have to sacrifice not seeing each other for our own safety, our family and for the community..",Sun Mar 15 07:08:41 +0000 2020,1.23910437715308E+18,Surprise
3993,0,0,0,1,0,0,1,If you had me for hours what would you do ?,Sun Mar 15 07:09:39 +0000 2020,1.23910709354354E+18,Surprise
4023,0,0,0,1,0,0,1,: i’m fuckin,Sun Mar 15 07:12:26 +0000 2020,1.2391079787766E+18,Surprise
4027,0,0,0,1,0,0,1,And he knows he’s ALWAYS been a failure. That’s why he bullies.,Sun Mar 15 07:12:37 +0000 2020,1.23910914637863E+18,Surprise
4072,0,0,0,1,0,0,1,yahh,Sun Mar 15 07:15:28 +0000 2020,1.23911111966455E+18,Surprise
4141,0,0,0,1,0,0,1,An European Girl Beautiful Talk About Trending Thing Nowadays ( Mera Jism Meri Marzi ). …,Sun Mar 15 07:20:51 +0000 2020,1.2391158004742E+18,Surprise
4177,0,0,0,1,0,0,1,Lames copy moves cause they can’t be original,Sun Mar 15 07:23:18 +0000 2020,1.23911677498723E+18,Surprise
4297,0,0,0,1,0,0,1,"My from have me . , why not .",Sun Mar 15 07:32:26 +0000 2020,1.23911688502877E+18,Surprise
4420,0,0,0,1,0,0,1,my boo hasn't replied,Sun Mar 15 07:43:18 +0000 2020,1.23911733045132E+18,Surprise
4454,0,0,0,1,0,0,1,: And like that in the afternoon,Sun Mar 15 07:46:43 +0000 2020,1.23911975818175E+18,Surprise
4496,0,0,0,1,0,0,1,Hey men gotta hav their toilet paper. Besides we are whoop whoop. thankyou…,Sun Mar 15 07:49:39 +0000 2020,1.23912251131012E+18,Surprise
4511,0,0,0,1,0,0,1,: Good teamwork between Republicans &amp; Democrats as the House passes the big Corona…,Sun Mar 15 07:50:19 +0000 2020,1.23912253201761E+18,Surprise
4512,0,0,0,1,0,0,1,: RT RealCandaceO: Here is the last page of the report which sites the crystal met…,Sun Mar 15 07:50:19 +0000 2020,1.23912330207079E+18,Surprise
4513,0,0,0,1,0,0,1,: RT RealCandaceO: LET’S GO AMERICA🇺🇸! After years of fighting and challenging…,Sun Mar 15 07:50:20 +0000 2020,1.23912340587986E+18,Surprise
4514,0,0,0,1,0,0,1,: RT RealCandaceO: Good news on the coronavirus you won’t find anywhere else: -Ch…,Sun Mar 15 07:50:20 +0000 2020,1.23912616894034E+18,Surprise
4515,0,0,0,1,0,0,1,": RT RealCandaceO: LMAO. Bags of a crystal meth, nudity, and puking... to help a f…",Sun Mar 15 07:50:21 +0000 2020,1.23912774801621E+18,Surprise
4516,0,0,0,1,0,0,1,: RT larryelder: “Andrew Gillum apologizes after being found 'inebriated' in hotel…,Sun Mar 15 07:50:22 +0000 2020,1.23912810094165E+18,Surprise
4517,0,0,0,1,0,0,1,: RT larryelder: Introducing keynote speaker Candace Owens for the Jewish Republic…,Sun Mar 15 07:50:22 +0000 2020,1.23912837648221E+18,Surprise
4518,0,0,0,1,0,0,1,": Larry, I am not surprised that Candace was great. I would only be surprised if s…",Sun Mar 15 07:50:23 +0000 2020,1.23912923008196E+18,Surprise
4520,0,0,0,1,0,0,1,: BIGGEST STOCK MARKET RISE IN HISTORY YESTERDAY!,Sun Mar 15 07:50:23 +0000 2020,1.23913056151331E+18,Surprise
4521,0,0,0,1,0,0,1,: Attending meetings on Covid-19 in the White House. Working with States and local…,Sun Mar 15 07:50:24 +0000 2020,1.23913098266334E+18,Surprise
4541,0,0,0,1,0,0,1,I'm hear have no fear Check my,Sun Mar 15 07:51:53 +0000 2020,1.23913181943973E+18,Surprise
4542,0,0,0,1,0,0,1,: my boo hasn't replied,Sun Mar 15 07:51:57 +0000 2020,1.23913210007222E+18,Surprise
4544,0,0,0,1,0,0,1,: I'm hear have no fear Check my …,Sun Mar 15 07:52:07 +0000 2020,1.23913227235745E+18,Surprise
4551,0,0,0,1,0,0,1,: I'm hear have no fear Check my …,Sun Mar 15 07:52:38 +0000 2020,1.23913284783693E+18,Surprise
4618,0,0,0,1,1,0,1,: Hold on to this hope : You can get better from Depression.,Sun Mar 15 07:58:59 +0000 2020,1.23913310471293E+18,Surprise
4627,0,0,0,1,0,0,1,: I'm hear have no fear Check my …,Sun Mar 15 07:59:48 +0000 2020,1.23913350619173E+18,Surprise
